INPUT,FOUND_BY,DTXSID,PREFERRED_NAME,SMILES
DTXSID50225660,DSSTox_Substance_Id,DTXSID50225660,Nectandrin-B,COC1=C(O)C=CC(=C1)[C@H]1O[C@H]([C@H](C)[C@@H]1C)C1=CC(OC)=C(O)C=C1
DTXSID5026205,DSSTox_Substance_Id,DTXSID5026205,"3,4,5-Trichloronitrobenzene",[O-][N+](=O)C1=CC(Cl)=C(Cl)C(Cl)=C1
DTXSID40199003,DSSTox_Substance_Id,DTXSID40199003,Neostigmine methylsulfate,COS([O-])(=O)=O.CN(C)C(=O)OC1=CC=CC(=C1)[N+](C)(C)C
DTXSID40289837,DSSTox_Substance_Id,DTXSID40289837,"5-anilino-1,3-diazinane-2,4,6-trione",O=C1NC(=O)C(NC2=CC=CC=C2)C(=O)N1
DTXSID00212944,DSSTox_Substance_Id,DTXSID00212944,Pomaglumetad methionil,CSCC[C@H](N)C(=O)N[C@]1(CS(=O)(=O)[C@H]2[C@@H]([C@@H]12)C(O)=O)C(O)=O
DTXSID5048552,DSSTox_Substance_Id,DTXSID5048552,Tiletamine,CCNC1(CCCCC1=O)C1=CC=CS1
DTXSID80398356,DSSTox_Substance_Id,DTXSID80398356,MLS002695002,NC1=CC2=C(C=C1)C1=C(C=C(C=C1)[N+]([O-])=O)C2=O
DTXSID20373107,DSSTox_Substance_Id,DTXSID20373107,"Ethanol, 2-[bis[(1,5-dimethyl-1H-pyrazol-3-yl)methyl]amino]-",CN1N=C(CN(CCO)CC2=NN(C)C(C)=C2)C=C1C
DTXSID50167935,DSSTox_Substance_Id,DTXSID50167935,Cutamesine,COC1=C(OC)C=C(CCN2CCN(CCCC3=CC=CC=C3)CC2)C=C1
DTXSID70173593,DSSTox_Substance_Id,DTXSID70173593,Bazedoxifene,CC1=C(N(CC2=CC=C(OCCN3CCCCCC3)C=C2)C2=C1C=C(O)C=C2)C1=CC=C(O)C=C1
DTXSID20154978,DSSTox_Substance_Id,DTXSID20154978,"4,4'-(1,4-Butanediyldiimino)bis-benzenecarboximidamide",NC(=N)C1=CC=C(NCCCCNC2=CC=C(C=C2)C(N)=N)C=C1
DTXSID4022991,DSSTox_Substance_Id,DTXSID4022991,Erythromycin,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O
DTXSID8040850,DSSTox_Substance_Id,DTXSID8040850,Ethanercept,N/A
DTXSID30416130,DSSTox_Substance_Id,DTXSID30416130,"1H-Pyrrole-2,5-dione, 3,4-bis(1-methyl-1H-indol-3-yl)-",CN1C=C(C2=CC=CC=C12)C1=C(C(=O)NC1=O)C1=CN(C)C2=CC=CC=C12
DTXSID50185194,DSSTox_Substance_Id,DTXSID50185194,gamma-Mangostin,CC(C)=CCC1=C(O)C2=C(OC3=C(C2=O)C(CC=C(C)C)=C(O)C(O)=C3)C=C1O
DTXSID80359563,DSSTox_Substance_Id,DTXSID80359563,"4-(Propan-2-yl)-5-(pyridin-4-yl)-2,4-dihydro-3H-1,2,4-triazole-3-thione",CC(C)N1C(=S)NN=C1C1=CC=NC=C1
DTXSID7032688,DSSTox_Substance_Id,DTXSID7032688,Phenothrin,CC(C)=CC1C(C(=O)OCC2=CC=CC(OC3=CC=CC=C3)=C2)C1(C)C
DTXSID60421853,DSSTox_Substance_Id,DTXSID60421853,NSC407363,CC(C)CN(CC(C)C)C1=CC=C(\C=C\C2=CC=NC3=CC=CC=C23)C=C1
DTXSID00366774,DSSTox_Substance_Id,DTXSID00366774,"2,2,3,3-Tetrafluoropropyl 5-[(2,6-dimethoxy-4-pyrimidinyl)amino]-5-oxopentanoate",COC1=NC(OC)=NC(NC(=O)CCCC(=O)OCC(F)(F)C(F)F)=C1
DTXSID90166407,DSSTox_Substance_Id,DTXSID90166407,Pumaprazole,COC(=O)NC1=CC=CC(C)=C1CNC1=CC=CN2C(C)=C(C)N=C12
